Date,Time,Load
01-Jan-14,0:00,3494
01-Jan-14,0:30,3282.5
01-Jan-14,1:00,3071
01-Jan-14,1:30,2974
01-Jan-14,2:00,205
01-Jan-14,2:30,206
01-Jan-14,3:00,212
01-Jan-14,3:30,211
01-Jan-14,4:00,208
01-Jan-14,4:30,213
01-Jan-14,5:00,220
01-Jan-14,5:30,223
01-Jan-14,6:00,2842
01-Jan-14,6:30,2943
01-Jan-14,7:00,3044
01-Jan-14,7:30,3326.5
01-Jan-14,8:00,3609
01-Jan-14,8:30,3737.5
01-Jan-14,9:00,3866
01-Jan-14,9:30,3850
01-Jan-14,10:00,3834
01-Jan-14,10:30,3870.5
01-Jan-14,11:00,3907
01-Jan-14,11:30,3988.5
01-Jan-14,12:00,4070
01-Jan-14,12:30,3997.5
01-Jan-14,13:00,3925
01-Jan-14,13:30,3862.5
01-Jan-14,14:00,3800
01-Jan-14,14:30,3800.5
01-Jan-14,15:00,3801
01-Jan-14,15:30,3806
01-Jan-14,16:00,3811
01-Jan-14,16:30,3929
01-Jan-14,17:00,4047
01-Jan-14,17:30,4657
01-Jan-14,18:00,5267
01-Jan-14,18:30,5346
01-Jan-14,19:00,5336
01-Jan-14,19:30,5326
01-Jan-14,20:00,5141
01-Jan-14,20:30,5028.5
01-Jan-14,21:00,4916
01-Jan-14,21:30,4628.5
01-Jan-14,22:00,4341
01-Jan-14,22:30,4002
01-Jan-14,23:00,3663
01-Jan-14,23:30,3499.5
01-Jan-14,24:00:00,3336
02-Jan-14,0:00,3336
02-Jan-14,1:00,3166
02-Jan-14,2:00,2996
02-Jan-14,3:00,2894.5
02-Jan-14,4:00,205
02-Jan-14,5:00,206
02-Jan-14,6:00,212
02-Jan-14,7:00,211
02-Jan-14,8:00,208
02-Jan-14,9:00,213
02-Jan-14,10:00,220
02-Jan-14,11:00,223
02-Jan-14,12:00,2923
02-Jan-14,13:00,3099.5
02-Jan-14,14:00,3276
02-Jan-14,15:00,3480.5
02-Jan-14,16:00,3685
02-Jan-14,17:00,3834
02-Jan-14,18:00,3983
02-Jan-14,19:00,3927
02-Jan-14,20:00,3871
02-Jan-14,21:00,3858
02-Jan-14,22:00,3845
02-Jan-14,23:00,3914
03-Jan-14,0:00,3983
03-Jan-14,1:00,3971.5
03-Jan-14,2:00,3960
03-Jan-14,3:00,3883.5
03-Jan-14,4:00,3807
03-Jan-14,5:00,3812
03-Jan-14,6:00,3817
03-Jan-14,7:00,3597.5
03-Jan-14,8:00,3378
03-Jan-14,9:00,3766.5
03-Jan-14,10:00,4155
03-Jan-14,11:00,4760
03-Jan-14,12:00,5365
03-Jan-14,13:00,5492
03-Jan-14,14:00,5521
03-Jan-14,15:00,5501
03-Jan-14,16:00,5356
03-Jan-14,17:00,5195.5
03-Jan-14,18:00,5035
03-Jan-14,19:00,4768
03-Jan-14,20:00,4501
03-Jan-14,21:00,4155.5
03-Jan-14,22:00,3810
03-Jan-14,23:00,3585
04-Jan-14,0:00,3360
04-Jan-14,0:30,3186
04-Jan-14,1:00,3012
04-Jan-14,1:30,2930.5
04-Jan-14,2:00,2849
04-Jan-14,2:30,2814
04-Jan-14,3:00,2779
04-Jan-14,3:30,2760
04-Jan-14,4:00,2741
04-Jan-14,4:30,2713.5
04-Jan-14,5:00,2686
04-Jan-14,5:30,2766.5
04-Jan-14,6:00,2847
04-Jan-14,6:30,2920
04-Jan-14,7:00,2993
04-Jan-14,7:30,3156.5
04-Jan-14,8:00,3320
04-Jan-14,8:30,3439
04-Jan-14,9:00,3558
04-Jan-14,9:30,3537
04-Jan-14,10:00,3516
04-Jan-14,10:30,3470.5
04-Jan-14,11:00,3425
04-Jan-14,11:30,3435
04-Jan-14,12:00,3445
04-Jan-14,12:30,3471.5
04-Jan-14,13:00,3498
04-Jan-14,13:30,3352.5
04-Jan-14,14:00,3207
04-Jan-14,14:30,3240
04-Jan-14,15:00,3273
04-Jan-14,15:30,3286
04-Jan-14,16:00,3299
04-Jan-14,16:30,3488.5
04-Jan-14,17:00,3678
04-Jan-14,17:30,4344.5
04-Jan-14,18:00,5011
04-Jan-14,18:30,5059
04-Jan-14,19:00,5082
04-Jan-14,19:30,5050
04-Jan-14,20:00,4857
04-Jan-14,20:30,4738.5
04-Jan-14,21:00,4620
04-Jan-14,21:30,4378.5
04-Jan-14,22:00,4137
04-Jan-14,22:30,3818
04-Jan-14,23:00,3499
04-Jan-14,23:30,3301
04-Jan-14,24:00:00,3103
05-Jan-14,0:00,3103
05-Jan-14,0:30,2964.5
05-Jan-14,1:00,2826
05-Jan-14,1:30,2761
05-Jan-14,2:00,205
05-Jan-14,2:30,206
05-Jan-14,3:00,212
05-Jan-14,3:30,211
05-Jan-14,4:00,208
05-Jan-14,4:30,213
05-Jan-14,5:00,220
05-Jan-14,5:30,223
05-Jan-14,6:00,2863
05-Jan-14,6:30,2997.5
05-Jan-14,7:00,3132
05-Jan-14,7:30,3360
05-Jan-14,8:00,3588
05-Jan-14,8:30,3754
05-Jan-14,9:00,3920
05-Jan-14,9:30,3913
05-Jan-14,10:00,3906
05-Jan-14,10:30,3886.5
05-Jan-14,11:00,3867
05-Jan-14,11:30,3910
05-Jan-14,12:00,3953
05-Jan-14,12:30,3969.5
05-Jan-14,13:00,3986
05-Jan-14,13:30,3903
05-Jan-14,14:00,3820
05-Jan-14,14:30,3820
05-Jan-14,15:00,3820
05-Jan-14,15:30,3823.5
05-Jan-14,16:00,3827
05-Jan-14,16:30,3955.5
05-Jan-14,17:00,4084
05-Jan-14,17:30,4701
05-Jan-14,18:00,5318
05-Jan-14,18:30,5368
05-Jan-14,19:00,5371
05-Jan-14,19:30,5343
05-Jan-14,20:00,5216
05-Jan-14,20:30,5046.5
05-Jan-14,21:00,4877
05-Jan-14,21:30,4568.5
05-Jan-14,22:00,4260
05-Jan-14,22:30,3960.5
05-Jan-14,23:00,3661
05-Jan-14,23:30,3411
05-Jan-14,24:00:00,3161
06-Jan-14,0:00,3161
06-Jan-14,0:30,3025
06-Jan-14,1:00,2889
06-Jan-14,1:30,2825
06-Jan-14,2:00,205
06-Jan-14,2:30,206
06-Jan-14,3:00,212
06-Jan-14,3:30,211
06-Jan-14,4:00,208
06-Jan-14,4:30,213
06-Jan-14,5:00,220
06-Jan-14,5:30,223
06-Jan-14,6:00,2792
06-Jan-14,6:30,2829
06-Jan-14,7:00,2866
06-Jan-14,7:30,2947
06-Jan-14,8:00,3028
06-Jan-14,8:30,3184
06-Jan-14,9:00,3340
06-Jan-14,9:30,3322
06-Jan-14,10:00,3304
