datetime,Load
2014-01-01,164674.5
2014-01-02,138495.0
2014-01-03,185884.5
2014-01-04,172451.5
2014-01-05,377294.0
2014-01-06,144755.0
2014-01-07,167447.5
2014-01-08,167361.5
2014-01-09,365972.5
2014-01-10,156488.5
2014-01-11,169241.0
2014-01-12,175511.0
2014-01-13,176294.5
2014-01-14,170528.0
2014-01-15,181939.5
2014-01-16,182634.0
2014-01-17,165146.5
2014-01-18,177411.0
2014-01-19,183375.5
2014-01-20,186585.0
2014-01-21,186668.0
2014-01-22,186870.0
2014-01-23,190431.0
2014-01-24,171992.0
2014-01-25,182773.0
2014-01-26,181052.5
2014-01-27,188190.5
2014-01-28,189485.0
2014-01-29,190040.0
2014-01-30,191681.0
2014-01-31,176452.0
2014-02-01,185240.5
2014-02-02,188083.0
2014-02-03,189836.5
2014-02-04,190000.0
2014-02-05,193257.5
2014-02-06,193587.0
2014-02-07,174998.5
2014-02-08,190872.5
2014-02-09,198896.5
2014-02-10,198896.5
2014-02-11,200211.0
2014-02-12,197135.0
2014-02-13,198322.0
2014-02-14,175041.5
2014-02-15,167759.0
2014-02-16,160919.0
2014-02-17,168267.0
2014-02-18,178661.5
2014-02-19,183369.5
2014-02-20,189936.5
2014-02-21,167007.0
2014-02-22,182314.0
2014-02-23,194231.0
2014-02-24,196274.5
2014-02-25,196274.5
2014-02-26,203558.0
2014-02-27,199991.0
2014-02-28,168563.5
2014-03-01,189770.0
2014-03-02,199545.0
2014-03-03,200773.0
2014-03-04,204615.0
2014-03-05,203943.5
2014-03-06,208548.0
2014-03-07,185423.5
2014-03-08,201235.5
2014-03-09,205077.0
2014-03-10,205077.0
2014-03-11,205077.0
2014-03-12,212151.0
2014-03-13,224359.5
2014-03-14,200044.0
2014-03-15,216388.5
2014-03-16,225182.0
2014-03-17,221872.0
2014-03-18,235326.5
2014-03-19,230562.5
2014-03-20,233174.5
2014-03-21,218763.0
2014-03-22,216967.0
2014-03-23,200662.5
2014-03-24,221818.0
2014-03-25,182773.0
2014-03-26,219668.0
2014-03-27,243730.0
2014-03-28,234661.5
2014-03-29,248667.0
2014-03-30,261759.0
2014-03-31,261901.0
2014-04-01,310171.5
2014-04-02,310171.5
2014-04-03,300121.0
2014-04-04,210287.5
2014-04-05,266714.5
2014-04-06,287068.0
2014-04-07,290764.5
2014-04-08,297649.0
2014-04-09,297514.0
2014-04-10,299629.5
2014-04-11,281001.0
2014-04-12,293826.5
2014-04-13,293913.0
2014-04-14,282005.5
2014-04-15,282005.5
2014-04-16,590990.5
2014-04-17,618581.5
2014-04-18,294061.5
2014-04-19,309660.5
2014-04-20,313970.0
2014-04-21,315039.5
2014-04-22,318881.0
2014-04-23,322320.0
2014-04-24,322084.5
2014-04-25,308481.0
2014-04-26,301751.0
2014-04-27,302837.5
2014-04-28,302837.5
2014-04-29,302837.5
2014-04-30,270734.0
2014-05-01,265099.5
2014-05-02,198954.0
2014-05-03,252288.5
2014-05-04,269099.0
2014-05-05,278042.5
2014-05-06,287398.5
2014-05-07,267770.0
2014-05-08,261042.5
2014-05-09,566516.5
2014-05-10,292055.5
2014-05-11,281997.0
2014-05-12,283574.0
2014-05-13,293237.5
2014-05-14,298233.5
2014-05-15,291217.5
2014-05-16,291217.5
2014-05-17,291217.5
2014-05-18,301426.0
2014-05-19,307363.0
2014-05-20,308415.5
2014-05-21,311550.5
2014-05-22,311497.5
2014-05-23,607219.0
2014-05-24,550778.5
2014-05-25,277967.5
2014-05-26,581598.5
2014-05-27,275615.5
2014-05-28,259871.5
2014-05-29,277000.5
2014-05-30,251899.0
2014-05-31,247626.5
2014-06-01,267632.0
2014-06-02,273497.5
2014-06-03,287120.5
2014-06-04,295563.5
2014-06-05,299009.5
2014-06-06,292136.0
2014-06-07,296729.0
2014-06-08,296729.0
2014-06-09,296729.0
2014-06-10,297642.0
2014-06-11,283639.0
2014-06-12,297612.5
2014-06-13,275054.0
2014-06-14,273566.5
2014-06-15,301562.5
2014-06-16,304972.5
2014-06-17,306751.0
2014-06-18,303693.0
2014-06-19,294590.5
2014-06-20,251773.5
2014-06-21,250035.5
2014-06-22,246136.0
2014-06-23,243338.0
2014-06-24,253800.0
2014-06-25,282769.5
2014-06-26,294521.5
2014-06-27,268364.5
2014-06-28,282600.0
2014-06-29,293635.5
2014-06-30,296912.0
2014-07-01,300164.0
2014-07-02,301750.5
2014-07-03,296917.0
2014-07-04,274119.5
2014-07-05,274079.5
2014-07-06,294758.0
2014-07-07,305561.5
2014-07-08,312515.0
2014-07-09,318126.0
2014-07-10,323750.0
2014-07-11,303069.0
2014-07-12,303069.0
2014-07-13,303069.0
2014-07-14,323853.5
2014-07-15,313280.5
2014-07-16,304826.5
2014-07-17,306906.0
2014-07-18,299665.0
2014-07-19,313297.5
2014-07-20,310125.0
2014-07-21,283692.0
2014-07-22,297479.0
2014-07-23,309749.5
2014-07-24,313567.0
2014-07-25,313567.0
2014-07-26,311912.5
2014-07-27,282092.5
2014-07-28,254074.5
2014-07-29,245290.0
2014-07-30,250986.0
2014-07-31,250986.0
2014-08-01,257153.0
2014-08-02,270596.0
2014-08-03,274640.0
2014-08-04,272740.5
2014-08-05,277391.5
2014-08-06,287278.5
2014-08-07,298685.0
2014-08-08,284636.5
2014-08-09,292831.0
2014-08-10,301979.5
2014-08-11,303711.0
2014-08-12,303776.5
2014-08-13,293174.5
2014-08-14,274248.0
2014-08-15,274248.0
2014-08-16,265144.0
2014-08-17,265144.0
2014-08-18,286454.5
2014-08-19,285539.0
2014-08-20,283558.0
2014-08-21,292874.0
2014-08-22,276807.5
2014-08-23,280037.5
2014-08-24,285508.0
2014-08-25,287410.5
2014-08-26,285014.5
2014-08-27,289787.5
2014-08-28,280407.0
2014-08-29,274182.0
2014-08-30,290903.5
2014-08-31,278175.0
2014-09-01,280500.5
2014-09-02,288831.5
2014-09-03,295848.5
2014-09-04,301509.5
2014-09-05,279316.5
2014-09-06,289535.5
2014-09-07,294881.5
2014-09-08,294439.0
2014-09-09,296979.5
2014-09-10,296788.0
2014-09-11,579730.5
2014-09-12,284439.0
2014-09-13,288041.5
2014-09-14,300318.0
2014-09-15,299068.0
2014-09-16,299151.5
2014-09-17,301938.0
2014-09-18,309689.0
2014-09-19,276769.5
2014-09-20,266613.0
2014-09-21,265114.0
2014-09-22,263298.0
2014-09-23,272870.5
2014-09-24,278225.0
2014-09-25,276828.0
2014-09-26,276828.0
2014-09-27,270065.5
2014-09-28,286904.0
2014-09-29,290983.5
2014-09-30,293060.5
2014-10-01,295533.5
2014-10-02,296227.5
2014-10-03,278943.5
