Date,Time,Load
1/1/2014,0:00:00,3494
1/1/2014,0:30:00,3282.5
1/1/2014,1:00:00,3071
1/1/2014,1:30:00,2974
1/1/2014,2:00:00,205
1/1/2014,2:30:00,206
1/1/2014,3:00:00,212
1/1/2014,3:30:00,211
1/1/2014,4:00:00,208
1/1/2014,4:30:00,213
1/1/2014,5:00:00,220
1/1/2014,5:30:00,223
1/1/2014,6:00:00,2842
1/1/2014,6:30:00,2943
1/1/2014,7:00:00,3044
1/1/2014,7:30:00,3326.5
1/1/2014,8:00:00,3609
1/1/2014,8:30:00,3737.5
1/1/2014,9:00:00,3866
1/1/2014,9:30:00,3850
1/1/2014,10:00:00,3834
1/1/2014,10:30:00,3870.5
1/1/2014,11:00:00,3907
1/1/2014,11:30:00,3988.5
1/1/2014,12:00:00,4070
1/1/2014,12:30:00,3997.5
1/1/2014,13:00:00,3925
1/1/2014,13:30:00,3862.5
1/1/2014,14:00:00,3800
1/1/2014,14:30:00,3800.5
1/1/2014,15:00:00,3801
1/1/2014,15:30:00,3806
1/1/2014,16:00:00,3811
1/1/2014,16:30:00,3929
1/1/2014,17:00:00,4047
1/1/2014,17:30:00,4657
1/1/2014,18:00:00,5267
1/1/2014,18:30:00,5346
1/1/2014,19:00:00,5336
1/1/2014,19:30:00,5326
1/1/2014,20:00:00,5141
1/1/2014,20:30:00,5028.5
1/1/2014,21:00:00,4916
1/1/2014,21:30:00,4628.5
1/1/2014,22:00:00,4341
1/1/2014,22:30:00,4002
1/1/2014,23:00:00,3663
1/1/2014,23:30:00,3499.5
1/1/2014,0:00:00,3336
1/2/2014,0:00:00,3336
1/2/2014,1:00:00,3166
1/2/2014,2:00:00,2996
1/2/2014,3:00:00,2894.5
1/2/2014,4:00:00,205
1/2/2014,5:00:00,206
1/2/2014,6:00:00,212
1/2/2014,7:00:00,211
1/2/2014,8:00:00,208
1/2/2014,9:00:00,213
1/2/2014,10:00:00,220
1/2/2014,11:00:00,223
1/2/2014,12:00:00,2923
1/2/2014,13:00:00,3099.5
1/2/2014,14:00:00,3276
1/2/2014,15:00:00,3480.5
1/2/2014,16:00:00,3685
1/2/2014,17:00:00,3834
1/2/2014,18:00:00,3983
1/2/2014,19:00:00,3927
1/2/2014,20:00:00,3871
1/2/2014,21:00:00,3858
1/2/2014,22:00:00,3845
1/2/2014,23:00:00,3914
1/3/2014,0:00:00,3983
1/3/2014,1:00:00,3971.5
1/3/2014,2:00:00,3960
1/3/2014,3:00:00,3883.5
1/3/2014,4:00:00,3807
1/3/2014,5:00:00,3812
1/3/2014,6:00:00,3817
1/3/2014,7:00:00,3597.5
1/3/2014,8:00:00,3378
1/3/2014,9:00:00,3766.5
1/3/2014,10:00:00,4155
1/3/2014,11:00:00,4760
1/3/2014,12:00:00,5365
1/3/2014,13:00:00,5492
1/3/2014,14:00:00,5521
1/3/2014,15:00:00,5501
1/3/2014,16:00:00,5356
1/3/2014,17:00:00,5195.5
1/3/2014,18:00:00,5035
1/3/2014,19:00:00,4768
1/3/2014,20:00:00,4501
1/3/2014,21:00:00,4155.5
1/3/2014,22:00:00,3810
1/3/2014,23:00:00,3585
1/4/2014,0:00:00,3360
1/4/2014,0:30:00,3186
1/4/2014,1:00:00,3012
1/4/2014,1:30:00,2930.5
1/4/2014,2:00:00,2849
1/4/2014,2:30:00,2814
1/4/2014,3:00:00,2779
1/4/2014,3:30:00,2760
1/4/2014,4:00:00,2741
1/4/2014,4:30:00,2713.5
1/4/2014,5:00:00,2686
1/4/2014,5:30:00,2766.5
1/4/2014,6:00:00,2847
1/4/2014,6:30:00,2920
1/4/2014,7:00:00,2993
